,tijdstip;locatie;component;waarde;LKI
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;FN;0,69;1
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;PM10;20,9;3
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;PM25;10,2;2
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;CO;325,2;2
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;NO;1,3;1
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;O3;53,3;4
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;FN;0,68;1
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;PM10;17,9;2
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;PM25;6,1;1
2019-01-02 20:00:00+01:00;Amsterdam-Vondelpark;NO2;32,6;4
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;CO;299,4;2
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;NO;0,9;1
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;O3;53,7;4
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;FN;0,72;1
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;PM10;19,1;2
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;PM25;4,6;1
2019-01-02 21:00:00+01:00;Amsterdam-Vondelpark;NO2;30,9;4
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;CO;327,0;2
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;NO;0,6;1
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;O3;53,3;4
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;FN;0,61;1
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;PM25;6,9;1
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;NO2;32,7;4
2019-01-02 22:00:00+01:00;Amsterdam-Vondelpark;PM10;18,1;2
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;CO;322,5;2
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;NO;0,9;1
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;O3;49,7;4
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;FN;0,73;1
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;PM10;18,5;2
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;PM25;7,6;1
